index,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations,symbol,Effect Of Exchange Rate Changes,Net Intangibles Purchase And Sale,Sale Of Intangibles,Purchase Of Intangibles,Change In Other Working Capital,Change In Other Current Assets,Asset Impairment Charge,Depreciation,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Issuance Of Capital Stock,Common Stock Issuance,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Other Investing Changes,Interest Paid Supplemental Data,Short Term Debt Payments,Sale Of PPE,Amortization Cash Flow,Amortization Of Intangibles
2024-04-30,14976000000.0,-7740000000.0,,,-369000000.0,,7587000000.0,7280000000.0,307000000.0,-9345000000.0,-9345000000.0,-1792000000.0,285000000.0,-98000000.0,-98000000.0,-7740000000.0,-7740000000.0,,,,,-5693000000.0,-5693000000.0,-5150000000.0,4153000000.0,-9303000000.0,-174000000.0,-174000000.0,-369000000.0,-369000000.0,15345000000.0,15345000000.0,834000000.0,323000000.0,4180000000.0,4202000000.0,-22000000.0,-22000000.0,-726000000.0,-577000000.0,-2366000000.0,-2366000000.0,-145000000.0,1011000000.0,-1577000000.0,-1577000000.0,410000000.0,410000000.0,-69000000.0,-69000000.0,14881000000.0,NVDA,,,,,,,,,,,,,,,,,,,,
2024-01-31,11245000000.0,-2659000000.0,0.0,,-254000000.0,1873000000.0,7280000000.0,5519000000.0,1761000000.0,-3629000000.0,-3629000000.0,-871000000.0,0.0,-99000000.0,,-2659000000.0,-2659000000.0,0.0,0.0,0.0,,-6109000000.0,-6109000000.0,-5855000000.0,1781000000.0,-7636000000.0,0.0,0.0,-254000000.0,-254000000.0,11499000000.0,11499000000.0,-1719000000.0,306000000.0,1353000000.0,1072000000.0,281000000.0,281000000.0,-1185000000.0,-503000000.0,-1690000000.0,-1690000000.0,-108000000.0,994000000.0,-78000000.0,-78000000.0,387000000.0,387000000.0,-262000000.0,-262000000.0,12285000000.0,NVDA,,,,,,,,,,,,,,,,,,,,
2023-10-31,7054000000.0,-3807000000.0,0.0,,-278000000.0,4348000000.0,5519000000.0,5882000000.0,-363000000.0,-4525000000.0,-4525000000.0,-777000000.0,156000000.0,-97000000.0,,-3807000000.0,-3807000000.0,0.0,0.0,0.0,,-3170000000.0,-3170000000.0,-2892000000.0,2890000000.0,-5782000000.0,0.0,0.0,-278000000.0,-278000000.0,7332000000.0,7332000000.0,-2733000000.0,-28000000.0,-1261000000.0,-1722000000.0,461000000.0,461000000.0,255000000.0,-456000000.0,-1243000000.0,-1243000000.0,-68000000.0,979000000.0,-530000000.0,-530000000.0,372000000.0,372000000.0,69000000.0,69000000.0,9243000000.0,NVDA,,,,,,,,,,,,,,,,,,,,
2023-07-31,6059000000.0,-3067000000.0,,,-289000000.0,,5882000000.0,5079000000.0,803000000.0,-5099000000.0,-5099000000.0,-683000000.0,1000000.0,-100000000.0,,-3067000000.0,-3067000000.0,,,,,-446000000.0,-446000000.0,-378000000.0,2599000000.0,-2977000000.0,221000000.0,221000000.0,-289000000.0,-289000000.0,6348000000.0,6348000000.0,-174000000.0,131000000.0,2764000000.0,1986000000.0,778000000.0,778000000.0,-377000000.0,295000000.0,-2987000000.0,-2987000000.0,-68000000.0,841000000.0,-746000000.0,-746000000.0,365000000.0,365000000.0,-59000000.0,-59000000.0,6189000000.0,NVDA,,,,,,,,,,,,,,,,,,,,
2023-04-30,2663000000.0,0.0,,,-248000000.0,,5079000000.0,3389000000.0,1690000000.0,-380000000.0,-380000000.0,-527000000.0,246000000.0,-99000000.0,-99000000.0,0.0,0.0,,,,,-841000000.0,-841000000.0,-289000000.0,2512000000.0,-2801000000.0,-304000000.0,-304000000.0,-248000000.0,-248000000.0,2911000000.0,2911000000.0,904000000.0,105000000.0,700000000.0,689000000.0,11000000.0,11000000.0,-215000000.0,566000000.0,-252000000.0,-252000000.0,-34000000.0,735000000.0,-1135000000.0,-1135000000.0,384000000.0,384000000.0,14000000.0,14000000.0,2043000000.0,NVDA,,,,,,,,,,,,,,,,,,,,
2023-01-31,,,0.0,0.0,,32000000.0,,,,,,,,,-98000000.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVDA,,,,,,,,,,,,,,,,,,,,
2022-10-31,,,0.0,0.0,,264000000.0,,,,,,,,,-100000000.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVDA,,,,,,,,,,,,,,,,,,,,
2024-03-31,-2535000000.0,,-697000000.0,776000000.0,-2777000000.0,,12464000000.0,17189000000.0,-4646000000.0,196000000.0,196000000.0,-134000000.0,251000000.0,,,,,79000000.0,79000000.0,-697000000.0,776000000.0,-5084000000.0,-5084000000.0,-2307000000.0,4315000000.0,-6622000000.0,,,-2777000000.0,-2777000000.0,242000000.0,242000000.0,-2661000000.0,,1247000000.0,,,,-972000000.0,-2697000000.0,-422000000.0,-422000000.0,-5000000.0,524000000.0,-11000000.0,-11000000.0,1246000000.0,1246000000.0,-63000000.0,,1144000000.0,TSLA,-79000000.0,,,,195000000.0,-12000000.0,68000000.0,1246000000.0,-63000000.0,,,,,,,,,,,
2023-12-31,2063000000.0,,-588000000.0,1405000000.0,-2307000000.0,,17189000000.0,16590000000.0,453000000.0,887000000.0,887000000.0,-82000000.0,152000000.0,,,,,817000000.0,817000000.0,-588000000.0,1405000000.0,-4804000000.0,-4804000000.0,-2497000000.0,3394000000.0,-5891000000.0,0.0,,-2307000000.0,-2307000000.0,4370000000.0,4370000000.0,798000000.0,,2629000000.0,,,,-2974000000.0,758000000.0,-963000000.0,-963000000.0,-13000000.0,484000000.0,,,1232000000.0,1232000000.0,173000000.0,,7943000000.0,TSLA,146000000.0,0.0,0.0,0.0,853000000.0,2561000000.0,102000000.0,,173000000.0,0.0,,,,,,,,,,
2023-09-30,849000000.0,,-462000000.0,,-2459000000.0,,16590000000.0,15879000000.0,809000000.0,2263000000.0,2263000000.0,-55000000.0,254000000.0,,,,,2064000000.0,2064000000.0,-462000000.0,,-4762000000.0,-4762000000.0,-2315000000.0,3816000000.0,-6131000000.0,12000000.0,,-2459000000.0,-2459000000.0,3308000000.0,3308000000.0,-415000000.0,442000000.0,-958000000.0,,,,327000000.0,163000000.0,881000000.0,881000000.0,35000000.0,465000000.0,,,1235000000.0,1235000000.0,-34000000.0,,1878000000.0,TSLA,-98000000.0,0.0,0.0,0.0,2000000.0,-1272000000.0,144000000.0,,-34000000.0,0.0,,,,,,,,,,
2023-06-30,1005000000.0,,-357000000.0,,-2060000000.0,,15879000000.0,16770000000.0,-797000000.0,-328000000.0,-328000000.0,-34000000.0,63000000.0,,,,,-357000000.0,-357000000.0,-357000000.0,,-3534000000.0,-3534000000.0,-1398000000.0,3677000000.0,-5075000000.0,,,-2060000000.0,-2060000000.0,3065000000.0,3065000000.0,-1156000000.0,1004000000.0,-469000000.0,,,,732000000.0,-576000000.0,-472000000.0,-472000000.0,44000000.0,445000000.0,,,1154000000.0,1154000000.0,-258000000.0,,2614000000.0,TSLA,-94000000.0,0.0,,0.0,571000000.0,-2566000000.0,167000000.0,1154000000.0,-258000000.0,,,,,,,,,,,
2023-03-31,440000000.0,,-408000000.0,0.0,-2073000000.0,,16770000000.0,16924000000.0,-204000000.0,-233000000.0,-233000000.0,-56000000.0,231000000.0,,,,,-408000000.0,-408000000.0,-408000000.0,0.0,-2484000000.0,-2484000000.0,-411000000.0,1604000000.0,-2015000000.0,,,-2073000000.0,-2073000000.0,2513000000.0,2513000000.0,-1475000000.0,620000000.0,1403000000.0,,,,-737000000.0,-1540000000.0,-32000000.0,-32000000.0,15000000.0,418000000.0,-55000000.0,-55000000.0,1046000000.0,1046000000.0,-25000000.0,,2539000000.0,TSLA,50000000.0,0.0,,0.0,106000000.0,-675000000.0,50000000.0,1046000000.0,-25000000.0,,,,,,,,,,,
2022-12-31,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,888000000.0,,,,,,,,,,,,,,,,,,TSLA,,0.0,0.0,0.0,,,,989000000.0,,34000000.0,,,,,,,,,,
2022-09-30,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,515000000.0,,,,,,,,,,,,,,,,,,TSLA,,,0.0,,,,,956000000.0,,0.0,,,,,,,,,,
2024-03-31,20965000000.0,-4213000000.0,-11589000000.0,6352000000.0,-10952000000.0,,19634000000.0,17305000000.0,2409000000.0,-18808000000.0,-18808000000.0,-498000000.0,,-5572000000.0,-5572000000.0,-3691000000.0,-4213000000.0,-9047000000.0,-5237000000.0,-11589000000.0,6352000000.0,-10700000000.0,-10700000000.0,3108000000.0,5291000000.0,-2183000000.0,-1575000000.0,-1575000000.0,-10952000000.0,-10952000000.0,31917000000.0,31917000000.0,2522000000.0,2851000000.0,648000000.0,,648000000.0,648000000.0,,260000000.0,-2028000000.0,-2028000000.0,,2703000000.0,-1323000000.0,-1323000000.0,6027000000.0,6027000000.0,49000000.0,,21939000000.0,MSFT,-80000000.0,,,,1977000000.0,-1186000000.0,,6027000000.0,,,522000000.0,522000000.0,-3810000000.0,,-1281000000.0,,,,,
2023-12-31,9118000000.0,-4000000000.0,-2916000000.0,10773000000.0,-9735000000.0,,17305000000.0,80452000000.0,-63219000000.0,-10147000000.0,-10147000000.0,-201000000.0,,-5574000000.0,-5574000000.0,-3739000000.0,-4000000000.0,-633000000.0,7857000000.0,-2916000000.0,10773000000.0,-71925000000.0,-71925000000.0,1492000000.0,5750000000.0,-4258000000.0,-65029000000.0,-65029000000.0,-9735000000.0,-9735000000.0,18853000000.0,18853000000.0,-10300000000.0,1492000000.0,-2521000000.0,,-2521000000.0,-2521000000.0,,1474000000.0,-2951000000.0,-2951000000.0,,2828000000.0,-1702000000.0,-1702000000.0,5959000000.0,5959000000.0,198000000.0,,21870000000.0,MSFT,72000000.0,,,,-7092000000.0,-702000000.0,,5959000000.0,,,261000000.0,261000000.0,-8490000000.0,,1347000000.0,,,,,
2023-09-30,20666000000.0,-4831000000.0,-1500000000.0,25765000000.0,-9917000000.0,,80452000000.0,34704000000.0,45847000000.0,14761000000.0,14761000000.0,-307000000.0,,-5051000000.0,-5051000000.0,-4146000000.0,-4831000000.0,24265000000.0,5573000000.0,-1500000000.0,7073000000.0,503000000.0,503000000.0,12588000000.0,21048000000.0,-8460000000.0,-1186000000.0,-1186000000.0,-9917000000.0,-9917000000.0,30583000000.0,30583000000.0,2418000000.0,-3815000000.0,1214000000.0,,1214000000.0,1214000000.0,,-505000000.0,11034000000.0,11034000000.0,,2507000000.0,-568000000.0,-568000000.0,3921000000.0,3921000000.0,14000000.0,,22291000000.0,MSFT,-99000000.0,,,,-2701000000.0,-2809000000.0,,,,,685000000.0,685000000.0,18692000000.0,18692000000.0,-982000000.0,,,,,
2023-06-30,19827000000.0,-5704000000.0,-1000000000.0,,-8943000000.0,,34704000000.0,26562000000.0,8223000000.0,-11413000000.0,-11413000000.0,-167000000.0,,-5054000000.0,-5054000000.0,-5192000000.0,-5704000000.0,-1000000000.0,-1000000000.0,-1000000000.0,,-9134000000.0,-9134000000.0,419000000.0,12395000000.0,-11976000000.0,-341000000.0,-341000000.0,-8943000000.0,-8943000000.0,28770000000.0,28770000000.0,4243000000.0,2864000000.0,1311000000.0,,1311000000.0,1311000000.0,,374000000.0,-11244000000.0,-11244000000.0,,2416000000.0,-1888000000.0,-1888000000.0,3874000000.0,3874000000.0,44000000.0,,20081000000.0,MSFT,-81000000.0,,,,14905000000.0,-3967000000.0,,3874000000.0,,,512000000.0,512000000.0,,,-269000000.0,,,,,
2023-03-31,17834000000.0,-5509000000.0,0.0,0.0,-6607000000.0,,26562000000.0,15646000000.0,10887000000.0,-10290000000.0,-10290000000.0,-258000000.0,,-5059000000.0,-5059000000.0,-4973000000.0,-5509000000.0,0.0,0.0,0.0,0.0,-3264000000.0,-3264000000.0,5330000000.0,14393000000.0,-9063000000.0,-301000000.0,-301000000.0,-6607000000.0,-6607000000.0,24441000000.0,24441000000.0,1843000000.0,1721000000.0,-407000000.0,,-407000000.0,-407000000.0,,106000000.0,-1408000000.0,-1408000000.0,,2465000000.0,-1675000000.0,-1675000000.0,3549000000.0,3549000000.0,-40000000.0,,18299000000.0,MSFT,29000000.0,,,,1233000000.0,598000000.0,,3549000000.0,,,536000000.0,536000000.0,0.0,,-1686000000.0,,,,,
2022-12-31,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSFT,,,,,,,,3648000000.0,,,,,0.0,,,,,,,
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSFT,,,,,,,,,,,,,,0.0,,,,,,
2024-03-31,4064000000.0,0.0,-1504000000.0,338000000.0,-14925000000.0,458000000.0,73332000000.0,73890000000.0,-129000000.0,-1256000000.0,-1256000000.0,-90000000.0,,,,0.0,0.0,-1166000000.0,-1100000000.0,-1100000000.0,0.0,-17862000000.0,-17862000000.0,-573000000.0,1392000000.0,-1965000000.0,-3354000000.0,-3354000000.0,-13935000000.0,-14925000000.0,18989000000.0,18989000000.0,-9883000000.0,,-14210000000.0,-2928000000.0,-11282000000.0,-11282000000.0,,1776000000.0,3684000000.0,3684000000.0,2734000000.0,4961000000.0,-938000000.0,-938000000.0,11684000000.0,11684000000.0,,,10431000000.0,AMZN,-429000000.0,,,,1568000000.0,-2701000000.0,,,,,,,-66000000.0,338000000.0,,407000000.0,-404000000.0,990000000.0,,
